2019-04-22 06:32:03,579 INFO     setup_logging done
2019-04-22 06:32:13,691 INFO     slept enough
2019-04-22 06:32:13,692 INFO     Waiting for RFCOMM connection!!!
2019-04-22 06:33:09,481 INFO     client_sock
2019-04-22 06:33:09,482 INFO     <bluetooth.bluez.BluetoothSocket object at 0x7097ad30>
2019-04-22 06:33:09,482 INFO     client_info
2019-04-22 06:33:09,483 INFO     ('F0:0F:EC:1F:89:8E', 1)
2019-04-22 06:33:09,484 INFO     slept enough
2019-04-22 06:33:09,486 INFO     Waiting for RFCOMM connection!!!
2019-04-22 06:33:09,805 INFO     Entered threaded client
2019-04-22 06:36:57,745 ERROR    Unhandled exception in thread started by
2019-04-22 06:36:57,746 ERROR    <function threaded_bt at 0x7095d300>
2019-04-22 06:36:57,747 ERROR    Traceback (most recent call last):
2019-04-22 06:36:57,748 ERROR      File "<string>", line 3, in recv
2019-04-22 06:36:57,749 ERROR    _bluetooth
2019-04-22 06:36:57,750 ERROR    .
2019-04-22 06:36:57,750 ERROR    error
2019-04-22 06:36:57,751 ERROR    :
2019-04-22 06:36:57,752 ERROR    (104, 'Connection reset by peer')
2019-04-22 06:36:57,752 ERROR    
During handling of the above exception, another exception occurred:
2019-04-22 06:36:57,753 ERROR    Traceback (most recent call last):
2019-04-22 06:36:57,753 ERROR      File "uus.py", line 204, in threaded_bt
2019-04-22 06:36:57,755 ERROR    data = conn.recv(1024)
2019-04-22 06:36:57,757 ERROR      File "<string>", line 5, in recv
2019-04-22 06:36:57,758 ERROR    bluetooth.btcommon
2019-04-22 06:36:57,759 ERROR    .
2019-04-22 06:36:57,760 ERROR    BluetoothError
2019-04-22 06:36:57,761 ERROR    :
2019-04-22 06:36:57,761 ERROR    (104, 'Connection reset by peer')
2019-04-22 06:37:27,994 INFO     client_sock
2019-04-22 06:37:27,995 INFO     <bluetooth.bluez.BluetoothSocket object at 0x7097ad30>
2019-04-22 06:37:27,996 INFO     client_info
2019-04-22 06:37:27,997 INFO     ('F0:0F:EC:1F:89:8E', 1)
2019-04-22 06:37:27,998 INFO     slept enough
2019-04-22 06:37:27,999 INFO     Waiting for RFCOMM connection!!!
2019-04-22 06:37:28,318 INFO     Entered threaded client
2019-04-22 06:42:06,155 ERROR    Unhandled exception in thread started by
2019-04-22 06:42:06,156 ERROR    <function threaded_bt at 0x7095d300>
2019-04-22 06:42:06,157 ERROR    Traceback (most recent call last):
2019-04-22 06:42:06,158 ERROR      File "<string>", line 3, in recv
2019-04-22 06:42:06,159 ERROR    _bluetooth
2019-04-22 06:42:06,160 ERROR    .
2019-04-22 06:42:06,161 ERROR    error
2019-04-22 06:42:06,161 ERROR    :
2019-04-22 06:42:06,162 ERROR    (104, 'Connection reset by peer')
2019-04-22 06:42:06,163 ERROR    
During handling of the above exception, another exception occurred:
2019-04-22 06:42:06,163 ERROR    Traceback (most recent call last):
2019-04-22 06:42:06,164 ERROR      File "uus.py", line 204, in threaded_bt
2019-04-22 06:42:06,167 ERROR    data = conn.recv(1024)
2019-04-22 06:42:06,167 ERROR      File "<string>", line 5, in recv
2019-04-22 06:42:06,169 ERROR    bluetooth.btcommon
2019-04-22 06:42:06,169 ERROR    .
2019-04-22 06:42:06,170 ERROR    BluetoothError
2019-04-22 06:42:06,171 ERROR    :
2019-04-22 06:42:06,171 ERROR    (104, 'Connection reset by peer')
2019-04-22 06:54:26,915 INFO     client_sock
2019-04-22 06:54:26,916 INFO     <bluetooth.bluez.BluetoothSocket object at 0x7097ad30>
2019-04-22 06:54:26,917 INFO     client_info
2019-04-22 06:54:26,918 INFO     ('F0:0F:EC:1F:89:8E', 1)
2019-04-22 06:54:26,918 INFO     slept enough
2019-04-22 06:54:26,920 INFO     Waiting for RFCOMM connection!!!
2019-04-22 06:54:27,238 INFO     Entered threaded client
2019-04-22 06:54:27,239 ERROR    Unhandled exception in thread started by
2019-04-22 06:54:27,240 ERROR    <function threaded_bt at 0x7095d300>
2019-04-22 06:54:27,241 ERROR    Traceback (most recent call last):
2019-04-22 06:54:27,242 ERROR      File "<string>", line 3, in recv
2019-04-22 06:54:27,243 ERROR    _bluetooth
2019-04-22 06:54:27,244 ERROR    .
2019-04-22 06:54:27,245 ERROR    error
2019-04-22 06:54:27,246 ERROR    :
2019-04-22 06:54:27,247 ERROR    (104, 'Connection reset by peer')
2019-04-22 06:54:27,247 ERROR    
During handling of the above exception, another exception occurred:
2019-04-22 06:54:27,248 ERROR    Traceback (most recent call last):
2019-04-22 06:54:27,249 ERROR      File "uus.py", line 204, in threaded_bt
2019-04-22 06:54:27,251 ERROR    data = conn.recv(1024)
2019-04-22 06:54:27,252 ERROR      File "<string>", line 5, in recv
2019-04-22 06:54:27,254 ERROR    bluetooth.btcommon
2019-04-22 06:54:27,254 ERROR    .
2019-04-22 06:54:27,255 ERROR    BluetoothError
2019-04-22 06:54:27,256 ERROR    :
2019-04-22 06:54:27,257 ERROR    (104, 'Connection reset by peer')
2019-04-22 06:54:46,050 INFO     client_sock
2019-04-22 06:54:46,051 INFO     <bluetooth.bluez.BluetoothSocket object at 0x7097ad30>
2019-04-22 06:54:46,052 INFO     client_info
2019-04-22 06:54:46,053 INFO     ('F0:0F:EC:1F:89:8E', 1)
2019-04-22 06:54:46,053 INFO     slept enough
2019-04-22 06:54:46,055 INFO     Waiting for RFCOMM connection!!!
2019-04-22 06:54:46,373 INFO     Entered threaded client
2019-04-22 06:54:46,380 ERROR    Unhandled exception in thread started by
2019-04-22 06:54:46,381 ERROR    <function threaded_bt at 0x7095d300>
2019-04-22 06:54:46,382 ERROR    Traceback (most recent call last):
2019-04-22 06:54:46,383 ERROR      File "<string>", line 3, in recv
2019-04-22 06:54:46,384 ERROR    _bluetooth
2019-04-22 06:54:46,385 ERROR    .
2019-04-22 06:54:46,386 ERROR    error
2019-04-22 06:54:46,387 ERROR    :
2019-04-22 06:54:46,388 ERROR    (104, 'Connection reset by peer')
2019-04-22 06:54:46,388 ERROR    
During handling of the above exception, another exception occurred:
2019-04-22 06:54:46,389 ERROR    Traceback (most recent call last):
2019-04-22 06:54:46,390 ERROR      File "uus.py", line 204, in threaded_bt
2019-04-22 06:54:46,392 ERROR    data = conn.recv(1024)
2019-04-22 06:54:46,393 ERROR      File "<string>", line 5, in recv
